Date,HRMS (day)
1981.645,113.355
1981.648,113.492
1981.651,113.838
1981.654,114.711
1981.656,115.091
1981.659,115.078
1981.662,114.725
1981.665,114.127
1981.667,114.083
1981.670,114.86
1981.673,114.266
1981.676,114.449
1981.678,114.88
1981.681,114.958
1981.684,114.943
1981.687,114.207
1981.689,113.256
1981.692,112.751
1981.695,113.319
1981.698,113.653
1981.700,114.628
1981.703,114.48
1981.706,114.814
1981.708,115.137
1981.711,115.061
1981.714,115.137
1981.717,114.318
1981.719,114.937
1981.722,114.942
1981.725,115.063
1981.728,115.347
1981.730,115.106
1981.733,114.249
1981.736,113.606
1981.739,113.875
1981.741,114.119
1981.744,114.221
1981.747,113.455
1981.749,113.669
1981.752,113.385
1981.755,111.083
1981.758,111.281
1981.760,112.193
1981.763,112.618
1981.766,113.673
1981.769,114.484
1981.771,114.133
1981.774,114.487
1981.777,111.964
1981.780,111.212
1981.782,111.034
1981.785,106.787
1981.788,106.56
1981.790,106.799
1981.793,107.569
1981.796,108.653
1981.799,109.83
1981.801,109.571
1981.804,108.472
1981.807,110.144
1981.810,111.081
1981.812,111.309
1981.815,112.438
1981.818,112.728
1981.821,112.336
1981.823,111.99
1981.826,111.966
1981.829,112.558
1981.832,112.735
1981.834,113.175
1981.837,113.181
1981.840,113.139
1981.843,113.031
1981.845,113.081
1981.848,112.63
1981.851,112.508
1981.854,110.965
1981.856,111.2
1981.859,111.468
1981.862,111.38
1981.865,108.793
1981.867,108.771
1981.870,110.36
1981.873,110.951
1981.875,111.878
1981.878,111.357
1981.881,112.123
1981.884,113.134
1981.886,112.484
1981.889,111.302
1981.892,111.22
1981.895,112.344
1981.897,112.566
1981.900,110.51
1981.903,111.201
1981.906,111.718
1981.908,112.512
1981.911,112.74
1981.914,112.785
1981.916,112.942
1981.919,112.66
1981.922,112.523
1981.925,112.856
1981.927,113.311
1981.930,113.353
1981.933,113.303
1981.936,113.006
1981.938,111.645
1981.941,112.09
1981.944,112.185
1981.947,111.758
1981.949,112.862
1981.952,112.846
1981.955,113.452
1981.957,114.15
1981.960,114.455
1981.963,114.671
1981.966,115.03
1981.968,115.576
1981.971,116.19
1981.974,116.2
1981.977,116.175
1981.979,115.986
1981.982,115.552
1981.985,115.496
1981.988,115.399
1981.990,115.635
1981.993,114.339
1981.996,113.108
1981.999,111.879
1982.001,112.927
1982.004,112.975
1982.007,113.082
1982.010,112.708
1982.012,113.304
1982.015,114.162
1982.018,114.358
1982.021,115.045
1982.023,115.556
1982.026,115.816
1982.029,116.397
1982.032,116.856
1982.034,116.373
1982.037,115.743
1982.040,116.889
1982.042,117.439
1982.045,117.179
1982.048,116.545
1982.051,116.578
1982.053,116.355
1982.056,115.306
1982.059,114.878
1982.062,115.219
1982.064,116.051
1982.067,115.957
1982.070,116.094
1982.073,116.068
1982.075,114.678
1982.078,114.777
1982.081,116.097
1982.084,111.741
1982.086,109.766
1982.089,109.247
1982.092,108.817
1982.095,109.666
1982.097,109.214
1982.100,110.021
1982.103,111.927
1982.106,112.78
1982.108,113.426
1982.111,113.517
1982.114,114.184
1982.117,109.659
1982.119,110.655
1982.122,112.119
1982.125,112.317
1982.127,112.615
1982.130,113.372
1982.133,112.816
1982.136,112.914
1982.138,112.714
1982.141,112.916
1982.144,112.992
1982.147,113.369
1982.149,113.766
1982.152,114.587
1982.155,114.601
1982.158,114.684
1982.160,115.078
1982.163,112.968
1982.166,111.652
1982.169,112.435
1982.172,113.27
1982.174,114.204
1982.177,114.464
1982.180,114.875
1982.183,115.366
1982.185,114.183
1982.188,114.516
1982.191,114.827
1982.194,115.03
1982.196,115.193
1982.199,115.576
1982.202,116.103
1982.204,116.19
1982.207,115.747
1982.210,115.524
1982.213,115.816
1982.215,115.838
1982.218,115.992
1982.221,115.413
1982.224,114.204
1982.226,114.366
1982.229,114.755
1982.232,115.119
1982.235,115.339
1982.237,115.74
1982.240,116.352
1982.243,115.689
1982.246,115.679
1982.248,115.028
1982.251,114.301
1982.254,115.348
1982.257,116.061
1982.259,116.686
1982.262,116.897
1982.265,116.796
1982.268,116.716
1982.270,116.456
1982.273,116.619
1982.276,116.924
1982.279,116.503
1982.281,116.817
1982.284,115.932
1982.287,115.814
1982.289,115.544
1982.292,114.574
1982.295,114.375
1982.298,114.846
1982.300,115.021
1982.303,114.876
1982.306,115.093
1982.309,115.632
1982.311,116.059
1982.314,113.816
1982.317,113.043
1982.320,113.877
1982.322,114.231
1982.325,114.227
1982.328,114.502
1982.330,114.603
1982.333,115.63
1982.336,116.593
1982.339,116.197
1982.341,116.044
1982.344,115.95
1982.347,115.83
1982.350,115.822
1982.352,116.216
1982.355,116.262
1982.358,116.338
1982.361,116.306
1982.363,116.545
1982.366,116.744
1982.369,116.156
1982.371,115.806
1982.374,116.186
1982.377,115.979
1982.380,115.574
1982.382,115.674
1982.385,116.107
1982.388,116.37
1982.391,116.767
1982.393,116.369
1982.396,116.575
1982.399,116.346
1982.402,115.069
1982.404,115.508
1982.407,115.948
1982.410,115.887
1982.413,115.742
1982.415,115.556
1982.418,115.878
1982.421,115.833
1982.424,116.696
1982.426,115.847
1982.429,115.826
1982.432,115.201
1982.435,114.778
1982.437,112.392
1982.440,110.274
1982.443,109.772
1982.446,109.765
1982.448,107.297
1982.451,106.537
1982.454,106.15
1982.456,106.873
1982.459,108.094
1982.462,108.986
1982.465,109.874
1982.467,110.013
1982.470,109.58
1982.473,109.859
1982.476,110.904
1982.478,110.922
1982.481,110.692
1982.484,110.965
1982.487,111.514
1982.489,111.457
1982.492,111.062
1982.495,111.354
1982.497,111.33
1982.500,111.043
1982.503,110.766
1982.506,110.395
1982.508,110.866
1982.511,110.481
1982.514,111.214
1982.517,111.215
1982.519,111.448
1982.522,110.845
1982.525,109.589
1982.528,107.104
1982.530,105.259
1982.533,93.56
1982.536,96.745
1982.538,99.082
1982.541,99.779
1982.544,101.35
1982.547,102.847
1982.549,105.396
1982.552,106.748
1982.555,106.539
1982.558,108.245
1982.560,108.588
1982.563,108.641
1982.566,110.403
1982.569,111.302
1982.571,111.809
1982.574,111.412
1982.577,110.145
1982.580,109.275
1982.582,109.486
1982.585,109.19
1982.588,108.725
1982.591,108.925
1982.593,108.836
1982.596,108.678
1982.599,106.08
1982.602,105.818
1982.604,106.332
1982.607,105.588
1982.610,105.413
1982.613,105.315
1982.615,106.206
1982.618,106.981
1982.621,108.034
1982.623,108.308
1982.626,108.192
1982.629,108.502
1982.632,108.365
1982.634,108.466
1982.637,108.611
1982.640,108.76
1982.643,108.317
1982.645,108.773
1982.648,109.064
1982.651,108.954
1982.654,108.772
1982.656,108.642
1982.659,108.639
1982.662,108.257
1982.665,108.556
1982.667,108.693
1982.670,108.533
1982.673,108.811
1982.676,108.921
1982.678,108.854
1982.681,105.33
1982.684,103.535
1982.687,104.23
1982.689,105.007
1982.692,106.307
1982.695,106.608
1982.698,106.336
1982.700,106.825
1982.703,106.054
1982.706,106.803
1982.708,106.462
1982.711,107.319
1982.714,107.822
1982.717,107.361
1982.719,106.321
1982.722,104.167
1982.725,102.211
1982.728,103.135
1982.730,104.058
1982.733,104.778
1982.736,105.007
1982.739,105.032
1982.741,105.147
1982.744,105.608
1982.747,106.441
1982.749,107.182
1982.752,107.552
1982.755,107.415
1982.758,107.024
1982.760,106.957
1982.763,106.938
1982.766,108.082
1982.769,108.203
1982.771,108.317
1982.774,108.619
1982.777,108.282
1982.780,107.985
1982.782,108.58
1982.785,109.15
1982.788,108.766
1982.790,109.11
1982.793,109.139
1982.796,108.689
1982.799,108.898
1982.801,109.299
1982.804,109.398
1982.807,109.871
1982.810,110.164
1982.812,110.399
1982.815,110.807
1982.818,110.014
1982.821,109.045
1982.823,109.638
1982.826,108.593
1982.829,108.553
1982.832,108.135
1982.834,107.584
1982.837,109.072
1982.840,109.683
1982.843,110.161
1982.845,110.084
1982.848,110.427
1982.851,110.564
